C A S M20 GINI Name
2.460359465751032 0.07041244162941772 0.058186274481662574 1.20615634806564 0.4539917994307105 0001_150.18497386512655_1.6160945378134612_acs_I_mosaic_30mas_sci.fits
2.5295498110253645 0.085131642096117 0.3463018899989971 1.5988221639083153 0.45322639516806174 0003_150.1767814552213_1.6160525535299917_acs_I_mosaic_30mas_sci.fits
2.583209608435095 0.07680318937140261 0.02819342170579974 1.6262626344453797 0.42975002709766863 0005_149.71120707754608_1.6152705768862516_acs_I_mosaic_30mas_sci.fits
4.003607048964321 0.07233255340137264 0.03400217404156148 2.2262003237872614 0.6061948894176945 0007_149.66388909399276_1.6258717082316307_acs_I_mosaic_30mas_sci.fits
3.394752563179473 0.06665612050974953 0.009962001484711625 2.0743551822225395 0.5164494469377091 0011_150.28911557123988_1.619768109460403_acs_I_mosaic_30mas_sci.fits
3.619615292726877 0.054427009835263336 0.21839690475110707 2.081037700573152 0.5919921721324313 0012_149.66624166779582_1.6197629380342302_acs_I_mosaic_30mas_sci.fits
2.443408887394717 0.07208687050865205 0.003067113088847887 1.2217365113708558 0.46175787343887414 0014_150.19370652691268_1.6224291470935972_acs_I_mosaic_30mas_sci.fits
3.271488988295453 0.09599864478669992 0.008490868015235117 1.9344478361527742 0.5331278598697768 0016_150.14479076590848_1.623507369006218_acs_I_mosaic_30mas_sci.fits
2.5357081967495247 0.034141078501404985 0.10144445300503709 1.5975803695573387 0.47574389156126456 0017_150.22592729306666_1.6219980834206345_acs_I_mosaic_30mas_sci.fits
2.5260273421059094 0.17087216354624798 0.14144130946592234 1.2151010201852859 0.4319094820237643 0019_150.14288208867882_1.6269991063194384_acs_I_mosaic_30mas_sci.fits
2.3882522493363205 0.19107799701797398 0.002712784297253069 0.9099717205388189 0.411454242650591 0028_150.26070779243585_1.6380699224616408_acs_I_mosaic_30mas_sci.fits
2.413399195616194 0.15354377140373646 0.4202601851743069 1.383206246920682 0.44234339962570457 0029_150.0888183779656_1.6369399844842143_acs_I_mosaic_30mas_sci.fits
3.5783098638689887 0.030858885031537855 0.011456112423414188 2.038405204925757 0.5881236995926298 0030_149.9393761913368_1.6360512187306864_acs_I_mosaic_30mas_sci.fits
2.3391140221089652 0.05777444385157258 0.002147854449010232 1.4990031375845916 0.4597882287492531 0031_150.27084554916073_1.639001397186644_acs_I_mosaic_30mas_sci.fits
2.5758902175716294 0.17859115409265572 0.012698210011911001 1.5624619809038565 0.46627646881986734 0032_150.2602876118588_1.642156786805132_acs_I_mosaic_30mas_sci.fits
3.7710900947432786 0.059379816260770706 0.08718596048380038 2.258310140973961 0.5739767096504796 0033_150.40320285315377_1.6440075518816943_acs_I_mosaic_30mas_sci.fits
2.3153893034808517 0.2066028258822963 0.28022774787494825 1.3845097041350305 0.4323497501276074 0034_149.49547773911328_1.6423778699698368_acs_I_mosaic_30mas_sci.fits
2.672334605672593 0.10282452267260704 0.027685553831975965 1.6651349522393324 0.5281984240512316 0036_149.85037020193576_1.6448821788827264_acs_I_mosaic_30mas_sci.fits
2.225612955357527 0.19175188015581776 0.4219981605150233 1.0616430599539661 0.412669881225223 0039_149.85876866743257_1.6483188806121924_acs_I_mosaic_30mas_sci.fits
3.9635120530189 0.023532751048314732 0.010067410244572876 2.2279600102592787 0.585932395880406 0041_149.67534675779012_1.64953607604541_acs_I_mosaic_30mas_sci.fits
2.5917322360000195 0.022121033888989648 0.005465285654249004 1.3247260777760559 0.4666065391324344 0042_149.92356586366694_1.649563654639181_acs_I_mosaic_30mas_sci.fits
2.950660452428415 0.18761571993789344 0.028993170157600473 1.6174375683798836 0.494421395168943 0045_150.3295880957953_1.65348747308723_acs_I_mosaic_30mas_sci.fits
